COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
Butte,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Calaveras,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Colusa,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Contra Costa,2015–2016,Age groups,5–17 years,34.300,(2.0–66.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Del Norte,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Fresno,2015–2016,Age groups,5–17 years,20.500,(3.4–37.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Humboldt,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Imperial,2015–2016,Age groups,5–17 years,24.100,(9.0–39.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Kern,2015–2016,Age groups,5–17 years,31.300,(12.1–50.4),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kings,2015–2016,Age groups,5–17 years,35.600,(11.8–59.3),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Lassen,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Los Angeles,2015–2016,Age groups,5–17 years,16.600,(10.0–23.2),,
Madera,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Marin,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Mariposa,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mendocino,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Merced,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Modoc,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Mono,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Monterey,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Napa,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Nevada,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Orange,2015–2016,Age groups,5–17 years,22.100,(5.3–38.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Placer,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Plumas,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Riverside,2015–2016,Age groups,5–17 years,20.600,(5.2–36.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Sacramento,2015–2016,Age groups,5–17 years,13.600,(1.0–26.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Benito,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
San Bernardino,2015–2016,Age groups,5–17 years,15.700,(2.6–28.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Diego,2015–2016,Age groups,5–17 years,15.600,(7.0–24.1),,
San Francisco,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
San Joaquin,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
San Luis Obispo,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
San Mateo,2015–2016,Age groups,5–17 years,26.200,(1.7–50.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Barbara,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Santa Clara,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Santa Cruz,2015–2016,Age groups,5–17 years,32.300,(0.5–64.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Shasta,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Sierra,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Siskiyou,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Solano,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Sonoma,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Stanislaus,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Sutter,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Tehama,2015–2016,Age groups,5–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Trinity,2015–2016,Age groups,5–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
Tulare,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Tuolumne,2015–2016,Age groups,5–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Ventura,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Yolo,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
Yuba,2015–2016,Age groups,5–17 years,,,,Prevalence not available due to small numbers of survey responses
California,2015–2016,Age groups,18–64 years,15.100,(14.0–16.2),,
Alameda,2015–2016,Age groups,18–64 years,12.900,(8.4–17.3),,
Alpine,2015–2016,Age groups,18–64 years,12.900,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Amador,2015–2016,Age groups,18–64 years,12.900,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Butte,2015–2016,Age groups,18–64 years,16.900,(7.6–26.1),,
Calaveras,2015–2016,Age groups,18–64 years,12.900,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Colusa,2015–2016,Age groups,18–64 years,17.700,(7.7–27.8),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2015–2016,Age groups,18–64 years,19.400,(12.9–26.0),,
Del Norte,2015–2016,Age groups,18–64 years,19.900,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2015–2016,Age groups,18–64 years,28.300,(13.0–43.6),,
Fresno,2015–2016,Age groups,18–64 years,15.900,(8.4–23.3),,
Glenn,2015–2016,Age groups,18–64 years,17.700,(7.7–27.8),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2015–2016,Age groups,18–64 years,20.500,(5.3–35.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Imperial,2015–2016,Age groups,18–64 years,11.700,(6.6–16.8),,
Inyo,2015–2016,Age groups,18–64 years,12.900,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Kern,2015–2016,Age groups,18–64 years,20.300,(13.8–26.8),,
Kings,2015–2016,Age groups,18–64 years,25.900,(14.5–37.2),,
Lake,2015–2016,Age groups,18–64 years,27.900,(15.7–40.2),,
Lassen,2015–2016,Age groups,18–64 years,19.900,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2015–2016,Age groups,18–64 years,12.600,(10.6–14.6),,
Madera,2015–2016,Age groups,18–64 years,13.900,(5.1–22.8),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Marin,2015–2016,Age groups,18–64 years,10.900,(7.2–14.7),,
Mariposa,2015–2016,Age groups,18–64 years,12.900,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mendocino,2015–2016,Age groups,18–64 years,18.000,(8.9–27.0),,
Merced,2015–2016,Age groups,18–64 years,17.400,(7.5–27.3),,
Modoc,2015–2016,Age groups,18–64 years,19.900,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2015–2016,Age groups,18–64 years,12.900,(4.9–20.9),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Monterey,2015–2016,Age groups,18–64 years,9.100,(4.7–13.5),,
Napa,2015–2016,Age groups,18–64 years,22.300,(10.8–33.8),,
Nevada,2015–2016,Age groups,18–64 years,10.500,(3.5–17.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Orange,2015–2016,Age groups,18–64 years,10.400,(6.5–14.3),,
Placer,2015–2016,Age groups,18–64 years,18.200,(7.7–28.7),,
Plumas,2015–2016,Age groups,18–64 years,19.900,(5.0–34.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2015–2016,Age groups,18–64 years,17.000,(10.9–23.0),,
Sacramento,2015–2016,Age groups,18–64 years,22.800,(16.7–29.0),,
San Benito,2015–2016,Age groups,18–64 years,16.200,(5.4–27.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
San Bernardino,2015–2016,Age groups,18–64 years,17.600,(12.7–22.5),,
San Diego,2015–2016,Age groups,18–64 years,15.100,(12.7–17.6),,
San Francisco,2015–2016,Age groups,18–64 years,15.800,(8.9–22.7),,
